,day,t,rh,ws,wd,r,h,l1,l2,l3,l4,l5,l6,l7,lp,t2,tmv,tm,tm2,tmy,tmy2
7951,2017-05-03 07:00:00,12.96083,77.0,3.0,6.0,0.0,0.0,37.3990243811697,7.512913697874423,14.892448434401345,15.597572175335406,16.492261179970637,10.0720326860587,26.827754517076045,23.69660577713956,167.9831142889,13.779437952662693,18.445,340.218025,21.53833,463.89965918889993
7952,2017-05-03 08:00:00,14.20333,74.5,2.5,7.0,0.0,0.0,14.76006615392253,8.548561509759828,10.263383616532906,11.000061155208062,14.36550768845764,12.511099075806875,16.75839246628415,23.69660577713956,201.7345830889,13.780507952662692,18.445,340.218025,21.53833,463.89965918889993
7953,2017-05-03 09:00:00,14.0575,77.0,2.0,8.0,0.0,0.0,13.305098841783433,4.9799348853987695,9.50960287271311,11.051839141472572,12.922837761151689,10.205034415458016,13.460584562743264,23.69660577713956,197.61330624999997,13.781819609467425,18.445,340.218025,21.53833,463.89965918889993
7954,2017-05-03 10:00:00,15.1375,72.0,3.0,6.0,0.0,0.0,10.934205982647327,6.620366769503116,10.981878561216153,11.345663046471062,14.939929791800846,11.525706594584545,10.705594620199841,23.69660577713956,229.14390625,13.791001088757364,18.445,340.218025,21.53833,463.89965918889993
7955,2017-05-03 11:00:00,17.28833,63.5,3.0,6.0,0.0,0.0,12.010843192844185,9.565612105212875,13.020267795264557,15.025768990109006,18.834652830178406,11.891936534610176,14.513424732358205,23.69660577713956,298.88635418889993,13.814107597633102,18.445,340.218025,21.53833,463.89965918889993
7956,2017-05-03 12:00:00,17.16917,83.0,4.0,3.0,1.0,0.0,9.453213605533133,6.397186073735048,13.145756075951654,12.51370532552239,20.838238476142223,10.171059448834342,5.3020207425220605,23.69660577713956,294.78039848890006,13.836839372781034,18.445,340.218025,21.53833,463.89965918889993
7957,2017-05-03 13:00:00,13.46917,82.5,3.0,1.0,0.0,0.0,7.896216300426808,12.99986725432558,11.595254745665219,13.151472172320293,21.923917258503806,9.510152512599705,17.745386201374654,23.69660577713956,181.4185404889,13.835956769230737,18.445,340.218025,21.53833,463.89965918889993
7958,2017-05-03 14:00:00,16.20083,67.5,3.0,2.0,0.0,0.0,8.706065373269336,11.692077713759412,12.84910662852862,11.23056269088865,21.315520309292047,11.66928436314879,16.31837950931389,23.69660577713956,262.4668926889,13.850784165680443,18.445,340.218025,21.53833,463.89965918889993
7959,2017-05-03 15:00:00,18.445,59.5,1.0,9.0,0.0,0.0,6.001095080070962,17.962119688903478,12.263671584405248,16.13447843020195,19.606541546657084,14.035461343135495,16.641952734920064,23.69660577713956,340.218025,13.87781570414198,18.445,340.218025,21.53833,463.89965918889993
7960,2017-05-03 16:00:00,18.41833,57.5,1.5,5.0,0.0,0.0,7.023197505598727,17.79222216538767,11.239832239452019,15.629120193437357,18.77076832622305,14.614435699423726,18.77124247445007,23.69660577713956,339.23487998890005,13.907159846153816,18.445,340.218025,21.53833,463.89965918889993
7961,2017-05-03 17:00:00,17.19,67.5,2.5,8.0,0.0,0.0,9.811557652828533,16.774365874981754,12.023857907994358,14.345746833875998,17.637919626556844,12.891023490710294,14.51691515524301,23.69660577713956,295.49610000000007,13.93033043786979,18.445,340.218025,21.53833,463.89965918889993
7962,2017-05-03 18:00:00,15.29833,85.0,1.5,7.0,0.0,0.0,12.406283814674604,16.278581535990668,11.976871578370346,13.709592949184163,17.337295918170568,13.7178998759874,17.31773159929327,23.69660577713956,234.0389007889,13.94206120710056,18.445,340.218025,21.53833,463.89965918889993
7963,2017-05-03 19:00:00,14.71,85.0,1.0,8.0,0.0,0.0,14.231657803468687,15.554720993764262,12.840775553451822,13.953078432196984,16.627829963733447,14.070846466115588,16.47282531318563,23.69660577713956,216.38410000000002,13.949960615384583,18.445,340.218025,21.53833,463.89965918889993
7964,2017-05-03 20:00:00,14.4975,88.0,1.0,6.0,0.0,0.0,14.494855258265066,17.84065876514325,13.129198579583237,13.007784301177342,17.66885647321031,15.777198338225595,16.18626020310336,23.69660577713956,210.17750625000002,13.956193337278073,18.445,340.218025,21.53833,463.89965918889993
7965,2017-05-03 21:00:00,14.12417,91.0,1.0,4.0,0.0,0.0,13.717461486559428,11.194927932042791,10.64791006835445,12.945434845539632,18.157460907508906,7.297659434347311,20.23068339804239,23.69660577713956,199.49217818889997,13.960231798816535,18.445,340.218025,21.53833,463.89965918889993
7966,2017-05-03 22:00:00,13.66833,94.0,1.0,7.0,0.0,0.0,11.498414579318018,7.423573047402575,10.702264434541721,10.760154983676372,13.239306309487933,8.796508551855595,14.936916575266803,23.69660577713956,186.82324498889997,13.961247538461505,18.445,340.218025,21.53833,463.89965918889993
7967,2017-05-03 23:00:00,13.14833,94.0,1.5,4.0,0.0,0.0,9.60807275860003,7.87139482590205,10.558382287755617,9.958764859913241,10.417619614501145,7.533831276542675,10.3442728140359,23.69660577713956,172.8785817889,13.958269195266237,18.445,340.218025,21.53833,463.89965918889993
7968,2017-05-04 00:00:00,12.71167,94.0,1.0,6.0,0.0,0.0,9.989311366914745,10.488238760321039,6.877621679220003,9.879151178997999,11.07924117253118,6.738436409801178,8.245312098067147,16.55663788484461,161.58655418889998,13.951360911242569,17.44667,304.38629408890006,18.445,340.218025
7969,2017-05-04 01:00:00,12.3,94.0,1.5,7.0,0.0,0.0,10.343783030705904,10.713607565941059,6.423368248663617,9.920126420037668,10.48380492431675,5.746799367384076,7.3850954743158415,16.55663788484461,151.29000000000002,13.942253396449669,17.44667,304.38629408890006,18.445,340.218025
7970,2017-05-04 02:00:00,12.21,94.0,1.5,6.0,0.0,0.0,9.030148326453734,13.9984221538908,6.939934633298384,10.74728687636117,12.296299838423629,7.55120246521864,5.982477906611702,16.55663788484461,149.08410000000003,13.932268189349077,17.44667,304.38629408890006,18.445,340.218025
